,Lawyer_name,years_of_experience,no_of_cases,no_of_success_cases,fees_per_hearing,case_text
11325,69,37,436,155,18690,the courts have a duty to view governmental secrets through different spectacles to those with which they would view private information esso australia resources ltd v plowman 1995 hca 19 1995 183 clr 10 at p 31 per mason cj there his honour said this involves a reversal of the onus of proof the government must prove that the public interest demands nondisclosure
12986,75,39,183,69,33632,just as copyright protects only a form of expression and not an idea itself it is the originality of the expression and not the originality of the ideas encompassed in the work that is assessed see eg donoghue v allied newspapers ltd 1938 ch 106 ch d per farwell d at 109112 in relation to the same requirement of originality for the copyright act 1911 uk originality requires no notion of novelty or invention if the form of expression represents independent application of knowledge judgment skill or labour that will be sufficient ladbroke football ltd v william hill football ltd 1964 1 all er 465
1888,20,24,145,18,4951,effectively the appellant argues that because her oral and affidavit evidence at the hearing was not found to have been what was the correct version of events that his honours decision should be overturned it was for his honour to form a view as to which witnesses evidence whether in whole or in part he accepted having seen or heard them his honour gave reasons for preferring mr xiaos evidence to that of the appellant and i can discern no error in those reasons nor has the appellant demonstrated any such error i see no reason for disturbing his honours conclusion on credibility and reliability of the witnesses based on my review in exercising the appellate jurisdiction of the court of the record of the trial fox v percy 2003 hca 22 2003 214 clr 118 at 125129 22 31 csr ltd v della maddalena 2006 hca 1 2006 224 alr 1 at 69 13 24 per kirby j gleeson cj agreeing at 3 1
24404,44,22,22,20,28496,while it may be that a tribunal must notify an appellant adequately of the issues to which its reasoning processes might be directed it is not necessary and often would be inappropriate for the tribunal to put to an applicant in so many words that he or she is lying that he or she may not be accepted as a witness of truth or that he or she may be thought to be embellishing the account that he has given of certain events proceedings before the tribunal are not adversarial and the tribunal is not to adopt the position of the contradictor see szbel v minister for immigration and multicultural and indigenous affairs 2006 hca 63 2006 231 alr 592 at 47 there was no error on the part of the primary judge in his conclusions 13 the primary judge also considered other possible jurisdictional errors on the part of the tribunal of which there was no suggestion in the appellants application of 12 april 2006 there is no apparent error in his honours observations on those matters 14 the grounds stated in the notice of appeal are as follows i do not believe that federal magistrates court give me a fair judgment of my protection visa application i am a falun gong member and i will be prosecuted if i go back to china it is wrong that rrt member did not invite me to comment on any doubts she had during or after hearing i did not have any chance to explain rrt member also believes that my evidence seemed rehearsed without any evidence court should listen to the tape of rrt hearing and know what is really happening on that day the grounds are not helpful but appear to be an assertion that the federal magistrates court erred in failing to hold that the tribunal committed jurisdictional error by not inviting the appellant to comment on doubts as to the appellants credibility i have already referred to that matter 15 in any event whether or not such an omission could constitute jurisdictional error it does not appear to be the case here that is to say the reasons of the tribunal suggest that it put in express terms to the appellant its concerns about inconsistency between his evidence and independent information there was no error on the part of the federal magistrates court 16 the appeal should be dismissed with costs the minister asks for costs in the fixed amount of 3200 while there is no evidence as to the reasonableness of that fee i am not persuaded that it is unreasonable in the absence of the appellant it seems to me to be appropriate to accede to the ministers request in order to avoid unnecessary further costs i order the applicant to pay the first respondents costs in the sum of 3200 i certify that the preceding sixteen 16 numbered paragraphs are a true copy of the reasons for judgment herein of the honourable justice emmett associate dated 28 february 2007 the appellant did not appear solicitor for the respondent sparke helmore date of hearing 15 february 2007 date of judgment 15 february 2007 austlii copyright policy disclaimers privacy policy feedback url 
19417,76,5,147,71,1803,under s 1022b of the fma a registrar has the power to make orders in relation to substituted service the use of the words in relation to provide a much wider power to the registrar than merely the making of an order for substituted service in tooheys limited and others v commissioner of stamp duties nsw 1961 105 clr 602 at 620 taylor j referred to the expansive meaning incorporated in the words relating to his honour said there can be no doubt that the expression relating to is extremely wide but it is also vague and indefinite clearly enough it predicates the existence of some kind of relationship but it leaves unspecified the plane upon which the relationship is to be sought and identified that being so all that a court can do is to endeavour to seek some precision in the context in which the expression is used see also australian competition and consumer commission v maritime union of australia and others 2001 fca 1549 2001 187 alr 487 at 68 joye v beach petroleum nl and another 1996 67 fcr 275
536,60,9,419,148,10729,concept of reputation in the law of defamation comprehends all aspects of a persons standing in the community radio 2ue sydney pty ltd v chesterton 2009 hca 16 2009 254 alr 606 at 616 36 per french cj gummow kiefel and bell jj the importance of the law of defamation in balancing the right of an individual to the protection of his or her reputation and the right commonly described as freedom of speech plays a crucial role in our democratic system of government that balance is affected at common law by the operation of the defence of qualified privilege as elaborated in lange v australian broadcasting corporation 1997 hca 25 1997 189 clr 520 see at 565576 per brennan cj dawson toohey gaudron mchugh gummow and kirby jj the test does not imply that the hypothetical referees will exercise a moral judgment about the plaintiff or applicant because of what is said about him or her rather the test identifies the attributes of persons who share the standards of the general community and will apply them chesterton 254 alr at 616 3738 and the moral or ethical standards held by the general community may be relevant to imputations which reflect upon a persons business or professional reputation chesterton 254 alr at 618 46 the standard to be applied must be one common to society rather than one which reflects an attitude of a section of it chesterton 254 alr at 619 48 french cj gummow kiefel and bell jj continued chesterton 254 alr at 618 46 in such cases the ordinary reasonable person may be expected to draw upon such community standards as may be relevant in order to answer the question whether there has been injury to that reputation i am of opinion that the essential balances that will need to be struck in respect of the critical issues in this matter other than damages are quintessentially better determined by a jury this assessment will best be done by the community referees to whom french cj gummow kiefel and bell jj referred in chesterton 254 alr at 616 3738 618 46 619 48 as did brennan j in lamb 150 clr at 506 accordingly i am satisfied that the ends of justice render it expedient to direct a trial by jury of all issues in the proceedings other than damages and any other issue which pursuant to the defamation act would not be left to the jury thus the question of the capacity of the matters complained of to convey any of the defamatory meanings alleged as opposed to whether they in fact were conveyed would remain a question of law to be decided by a judge the part of this controversy that arises under s 53b of the trade practices act should also be decided by a jury this is because it is inextricably related to the meanings conveyed to ordinary reasonable readers by the matters complained of and whether ms ra has been injured in her reputation as an employer for the purposes of s 53b however if the jury returned a verdict in her favour on the issues of liability the amount of compensation to be awarded pursuant to s 82 of that act should be assessed by a judge
24687,59,18,425,116,15781,an understanding of some basic concepts involved in the construction of a computer program assists in understanding the appellants implied term argument the following description of the general nature of a computer program is taken from the judgment of gibbs cj in computer edge pty ltd v apple computer inc 1986 hca 19 1986 161 clr 171 at 178179 a computer program is a set of instructions designed to cause a computer to perform a particular function or to produce a particular result a program is usually developed in a number of stages first the sequence of operations the computer will be required to perform is commonly written out in ordinary language next a source program is prepared usually in a source code which is humanreadable the source code cannot be used directly in the computer and must first be converted into an object code which is machinereadable the program is executed by the computers central processing unit see data access corporation v powerflex services pty ltd 1999 hca 49 1999 202 clr 1 at 4 
5446,66,31,303,117,22370,the statement of claim pleads that excom breached its employment contract with mr patankar by failing to assist him to achieve his potential and goals as provided for by cl 24 of the offer of employment it is not clear that this claim was pressed in my view it is clear that the opening words of cl 24 of the terms and conditions upon which mr patankar was offered employment by excom were aspirational in the sense that they merely sought to describe the attitude that would inform the way in which excom would conduct staff performance reviews whitlock v brew 1968 hca 71 1968 118 clr 445 bishop v taylor 1968 hca 68 1968 118 clr 518 the meaning of the words is insufficiently certain to be enforced they were not in my view intended of themselves to give rise to any legal obligation
16382,58,6,324,268,29901,in my judgment the transcript does not indicate circumstances such that a fairminded and informed person might reasonably apprehend that the tribunal might not have brought an impartial mind to the consideration of the application webb v the queen 1994 hca 30 1994 181 clr 41 at 7071 re refugee review tribunal ex parte h 2001 hca 28 2001 179 alr 425 the tribunals role required it to question the applicant and entitled it to express doubts about aspects of the applicants evidence or claims and to invite his comments upon those matters nadh of 2001 v minister for immigration amp multicultural amp indigenous affairs 2005 214 alr 264 at 269 nadh the tribunal went no further than that it put its concerns to the applicant it gave him an opportunity to respond it did not prevent him from responding or cut off his answers its concerns were rational it does not appear that its manner of questioning was inappropriate
2683,47,15,53,8,34022,it is unnecessary to compare minutely the length of time taken in these examples of other media given the respondents evidence as to the impugned broadcasts it may be and i do not make a finding about this now that even by these standards that is the standards of pay television and free to air television it will be found that the respondents have to put it bluntly been a little greedy in what they have taken for the dealing to be fair as well as newsworthy ultimately that will be a matter of judgment and impression see british broadcasting corporation v british satellite broadcasting ltd 1992 ch 141 and hubbard v vosper 1972 2 qb 84 and other cases it is not clear to me that that judgment ought be made that is that there has been a taking of too much by reference to the benchmark of free to air and pay television as i said it is unnecessary to pursue this judgmental analysis given the way the matter has been argued my doubts and uncertainties about whether what has been done goes beyond fair dealing is strengthened by some evidence concerning the approach of telstra itself in negotiating with the australian football league the afl in december 2005 telstra in those negotiations was seeking to reach agreement with that other sporting code about the same kind of rights that it has been able to extract by agreement from the nrl
6592,94,32,457,97,25744,the objects of the therapeutic goods act include the establishment and maintenance of a national system of controls relating to the quality safety efficacy and timely availability of therapeutic goods s 41a a useful overview of some of the provisions of the act has been provided by emmett j in mcgrath v australian naturalcare products pty ltd 2008 fcafc 2 165 fcr 230 6 for present purposes it is sufficient to make reference to but a few provisions 7 chapter 2 of the act provides for the maintenance of a register known as the australian register of therapeutic goods part 3 2 of chapter 3 further provides for the registration and listing of therapeutic goods and provides for exemptions to be granted in respect to certain therapeutic goods which are not registered contained within that part is s 19d which relevantly provides as follows civil penalties relating to registration or listing etc of imported exported manufactured and supplied therapeutic goods civil penalty relating to importing exporting manufacturing or supplying goods for use in humans 1 a person contravenes this subsection if a the person does any of the following i imports into australia therapeutic goods for use in humans and b none of the following subparagraphs applies in relation to the goods i the goods are registered goods or listed goods in relation to the person ii the goods are exempt goods iii the goods are exempt under section 18a iv the goods are the subject of an approval or authority under section 19 v the goods are the subject of an approval under section 19a maximum civil penalty a for an individual5000 penalty units and b for a body corporate50000 penalty units
8765,18,23,281,229,35276,counsel for sanofiaventis submitted that enabling disclosure not mere disclosure is required for anticipation citing most recently lindgren j in alphapharm pty ltd 2008 fca 559 at 160 161 and the decision of the house of lords in smithkline beecham paroxetine methanesulfonate patent 2006 rpc 323 by way of introduction it is worth remarking that the phrase enabling disclosure was brought to prominence by the speech of lord hoffmann in biogen inc v medeva plc 1996 ukhl 18 1997 rpc 1 1996 36 ipr 438 that decision concerned the requirements for a valid patent under the 1997 united kingdom act based upon the european patent convention but did not concern the question of anticipation the most important question was whether a later patent could claim an earlier priority date because it was supported by the earlier specification that is a concept similar to but narrower than whether a later patent is fairly based upon an earlier specification in our law cf f hoffmanla roche amp co ag v commissioner of patents 1971 hca 3 1971 123 clr 529 ccom pty ltd v jiejing pty ltd 1994 fca 1168 1994 51 fcr 260 lockwood security products pty ltd v doric products pty ltd 2004 hca 58 2004 217 clr 274 it may be accepted that in the case of a claim for a chemical compound by formula in order to be valid the specification would have to disclose how it might be manufactured s 40 the phrase was also used in the speech of lord oliver in asahi kasei kogyo kks application 1991 rpc 485 to which i shall return the phrase is reasonable shorthand in relation to the disclosure required for there to be anticipation of a process or method claim but in my opinion has little if any relevance to anticipation of a product claim or a claim for a chemical compound by formula indeed it is apt to mislead in relation to the latter for a product claim the novelty must lie in the product not the means of producing it may amp baker ltd v boots pure drug co ltd 1948 65 rpc 255 at 281 282 by the same token a new process to obtain an old product will have novelty
21826,6,1,146,98,44253,these provisions read together are commonly described as an allmoneys clause provisions such as these are not at large fountain v bank of america trust amp savings association 1992 5 bpr 11817 at 11819 the clause is confined in its operation by reference to the context in which it appears and by reference to the commercial purpose for which it was intended to serve fountain at 1181911820 those matters are ascertained by having regard to the language of the clause construed in the context of the security instrument as a whole the apparent purpose and object of the transaction and any admissible evidence as to the surrounding circumstances olympic holdings pty ltd v windslow corporation pty ltd in liq 2008 wasca 80 at 43 consistent with that approach an allmoneys clause will not secure a debt of a fundamentally different character from the debt specifically contemplated by the parties at the time they entered into the contract mcveigh in the matter of piccolo v national australia bank limited 2000 fca 187 at 84 as gleeson cj said in fountain at 11820 the critical question is whether on the true construction of the document and in the events that have occurred the transaction the tranche 2 loan was within the purview of cll 1127 and 28 of the avs mortgage
5098,87,26,191,105,42688,reversal on appeal generally annuls a judgment ab initio however a person may act under the authority of a judgment until reversed and such action is not avoided or invalid or unlawful antoniadis commissioner for railways nsw v cavanough 1935 hca 45 1935 53 clr 220 at 227 wilde v australian trade equipment co pty ltd 1981 hca 13 1981 145 clr 590 at 603 whether what has been done can be undone will depend upon the availability of appropriate remedies to bring about the appropriate relief wilde at 603 a change of position made in good faith is available as a defence against a claim for restitution lipkin gorman v karpnale ltd 1988 ukhl 12 1991 2 ac 548
15808,99,33,234,199,40008,the modern approach to statutory construction is to construe the relevant provision in its context so that it is consistent with the language and purpose of all the provisions of the statute see cic insurance limited v bankstown football club limited 1997 hca 2 1997 187 clr 384 at 408 brennan cj dawson toohey and gummow jj project blue sky inc v australian broadcasting authority 1998 hca 28 1998 194 clr 355 at 69 mchugh gummow kirby and hayne jj recourse to extrinsic material including the legislative history and explanatory material such as a second reading speech is permitted see newcastle city council v gio general limited 1997 hca 53 1997 191 clr 85 at 99 toohey gaudron and gummow jj and at 112 mchugh j isherwood v butler pollnow pty limited 1986 6 nswlr 363 at 387388 mchugh ja
14198,26,18,72,42,3325,an employer wrongfully terminates an employment contract which has a fixed term thereby causing damage to an employee damages are normally calculated on the basis that the employee would have enjoyed the benefits of the contract for the remainder of its term see kilburn v enzed precision products pty ltd 1988 4 vir 31 at 33 patterson v middle harbour yacht club 1996 64 fcr 405 at 406 martin v tasmanian development and resources 1999 89 ir 98 at 1201 the employee is under an obligation to mitigate his loss by seeking to obtain alternative remunerative employment although the awa had a three year term mr van efferen only sought damages until cmas work on the dolphin project ceased
23259,19,30,424,19,30930,the views of sheppard j have not withstood the test of time the most powerful attack came in danieletto v khera 1995 35 nswlr 684 in that case bryson j rejected the idea that the entitlement of witnesses to be reimbursed for their costs and expenses could be established by reference to conflicting decisions from long ago affected by a tudor statute long since repealed he said 35 nswlr at 688 that the matter should be approached as one of principle and according to principle it is a necessary incident of the exercise by the court of its subpoena power that the court should deal with the question of paying persons whose time and attention are involved in the exercise that is the court has an inherent jurisdiction to award in favour of a witness such costs as it thinks appropriate to compensate the witness for his time and expenses incurred in compliance with a subpoena thus it has been said correctly in my opinion that the rules that fix costs for witnesses represents but an aspect of the more comprehensive jurisdiction in respect of persons subjected to compulsion by the processes of the court in proceedings to which they are not parties re pan pharmaceuticals ltd selim v mcgrath 2004 48 acsr 681 690 per barrett j
4813,5,8,243,214,2691,finding of the tribunal that the sole or predominant reason for his being targeted by the maoists was the satisfaction of a personal grudge against him was so submits the first respondent a finding of fact which cannot be reviewed peiris v minister for immigration and multicultural affairs 1999 58 ald 413 at 1823 buultjens v minister for immigration amp multicultural affairs 2001 fca 1058 at 12 and 13 the first respondent further submits that the court should not too readily find error in such a finding of nonsatisfaction naah of 2002 v minister for immigration amp multicultural amp indigenous affairs 2002 fcafc 354 at 27 natc v minister for immigration and multicultural and indigenous affairs 2004 fcafc 52 at 27 to do so it submits would involve the court transgressing into merits review or finding that there was only one reasonable finding open to the tribunal being convention related persecution for reason of political opinion or membership of a particular social group notwithstanding the lack of evidence to support such an inference finally it contends that there was no evidence that the maoists in question wanted to harm the appellant because he was an agent of the state and the court should not reconstruct those claims in a different or more articulate manner than they were put to the tribunal s3952002 v minister for immigration and multicultural affairs 2003 hca 71 2003 203 alr 112 at 1 nabe v minister for immigration and multicultural and indigenous affairs no 2 2004 fcafc 263 at 58 
24415,91,33,63,13,4335,a power to make an order that no legal proceedings should be instituted by a person without the leave of a judge of the court is however conferred on the court by the federal court rules one such relevant rule is o 21 r 1 in ramsey v skyring 1999 fca 907 1999 164 alr 378 affirmed on appeal skyring v ramsey 2000 fca 774 sackville j upheld the validity of o 21 r 1 in its then form his honour regarded the rule as falling within the rule making power conferred on the court by the parliament in s 591 and s 592l of the federal court of australia act 1976 order 21 r 1 has since been amended but not in any way which would call into question the continuing relevance of the conclusion reached by sackville j those provisions of the federal court of australia act also support the validity of the other relevant rule o 21 r 2 46 so far as presently material and as at the time when the respondents application was heard and written submissions made o 21 r 1 and r 2 provided 1 vexatious litigant 1 if a person institutes a vexatious proceeding and the court is satisfied that the person has habitually persistently and without reasonable grounds instituted other vexatious proceedings in the court or any other australian court whether against the same person or against different persons the court may order a that any proceeding instituted by the person may not be continued without leave of the court and b that the person may not institute a proceeding without leave of the court 2 an order under this rule may be made a on the courts own motion or b on the application of the attorneygeneral or solicitorgeneral of the commonwealth or of a state or territory or c on the application of the registrar 2 vexatious proceeding against a person where any person in this rule called the vexatious litigant habitually and persistently and without any reasonable ground institutes a vexatious proceeding against any person in this rule called the person aggrieved in the court the court may on application by the person aggrieved order that the vexatious litigant shall not without leave of the court institute any proceeding against the person aggrieved in the court and that any proceeding instituted by the vexatious litigant against the person aggrieved in the court before the making of the order shall not be continued by him without leave of the court 47 order 21 r 12 has since been amended so as to allow an application under o 21 r 1 to be made by relevantly a person against whom the person mentioned in subrule 1 has instituted or conducted vexatious proceedings this amendment being procedural would now give the respondents a standing which they did not hitherto have to seek relief pursuant to o 21 r 1 providing of course that they were persons in respect of whom a vexatious proceeding had been instituted the standing to bring an application under o 21 r 2 as the then language of that rule provided was more accommodating for persons in the position in which the respondents allege themselves to be 51 discrete applications in the original jurisdiction for relief under o 21 were made in ramsey v skyring 1999 fca 907 1999 164 alr 378 national australia bank limited v freeman a bankrupt 2005 fca 1895 spender j affirmed freeman a bankrupt v national australia bank ltd 2006 fcafc 67 2006 230 alr 213 and granich and associates v yap 2004 fca 1567 french j 54 nonetheless i note that in kowalski v mitsubishi motors australia ltd staff superannuation fund pty ltd mmal staff superannuation fund pty ltd 2007 242 alr 370 finn j entertained but did not grant an application made in an existing proceeding for relief under o 21 r 1 and r 2 as a sequel to a summary judgment application though the effect if any of o 21 r 3 with respect to the practice and procedure in respect of seeking to engage the powers conferred by o 21 r 1 and r 2 is not mentioned in that case neither it must be said is it mentioned in ramsey v skyring national australia bank limited v freeman a bankrupt and granich and associates v yap 58 in kowalski v mitsubishi motors australia ltd staff superannuation fund pty ltd mmal staff superannuation fund pty ltd 2007 242 alr 370 at 380 44 finn j observed of o 21 r 1 and r 2 44 by way of background to the application of these provisions it is important to have regard to the fundamental principle on which they entrench this is that every person has a constitutional right of access to a court of competent jurisdiction to obtain redress in consequence of an alleged breach of his or her rights by some other person bremer vulkan schiffbau und maschinenfabrik v south india shipping corp ltd 1981 ac 909 at 977 1980 1 all er 289 at 295 ramsey v skyring 1999 fca 907 1999 164 alr 378 at 389 1999 fca 907 freeman v national australia bank ltd 2006 fcafc 67 2006 230 alr 213 at 218 19 2006 fcafc 67 the purpose of the powers given under the rules is to reinforce the power of the court to protect its own processes against unwarranted usurpation of its time and resources and to avoid the loss caused to those who have to face actions which lack any substance jones v skyring 1992 hca 39 1992 109 alr 303 at 312 1992 hca 39 66 aljr 810 at 814 this said an order under the rules will not lightly be made because of its serious impact on the right of access to the courts of this country
10915,15,10,271,199,31752,if legal expenses are properly treated as having been incurred by a taxpayer in defending the manner of his performance of his duties the expenses will be deductible if a liability is incurred or a claim is encountered because of the very act of performing the work by which a taxpayer earns assessable income the expense will be deductible if a proceeding in respect of which legal expenses are incurred arises from activities by which a taxpayer earns his income or the mode of his performance of a particular task carried out in the course of earning his income the legal expenses incurred in relation to that proceeding will be deductible that is to say if the cause or the purpose of a taxpayers incurring of legal expenses is his assertion that he had faithfully performed the duties by which he had earned assessable income the expenditure will be deductible commissioner of taxation v rowe 1995 60 fcr 99 at 113 rowe 34 if incurring costs can be shown to contribute to the success of an employee in defending himself from dismissal from his employment and costs are incurred to preserve the employees entitlement to receive in return for his services assessable income the costs will be deductible rowe at 115116 if legal expenses are incurred by an employee in defending himself from dismissal the expenditure will be incurred on revenue account and not capital account rowe at 118 whether or not legal expenses constitute an outgoing of a capital nature or an outgoing on account of revenue depends upon the cause or the purpose of incurring the expense it is therefore necessary to consider the object in view when the legal proceedings were undertaken or the situation that impelled a taxpayer to undertake the proceedings hallstroms pty limited v federal commissioner of taxation 1946 hca 34 1946 72 clr 634 at 647
1889,19,14,447,146,16918,this case is not like the circumstances in gillette australia pty ltd v energiser australia pty ltd 2002 193 alr 629 2002 fcafc 223 where the trial judge had erroneously included in his judgment as having been read and being credible material from affidavits which in fact had never been read in the proceedings however as merkel j with whom heerey j at 193 alr 635 29 and lindgren j at 193 alr at 636 32 agreed said that 193 alr at 652 78 while not every breach of the rules of natural justice invalidates the decision made once the breach is proved the court should refuse relief only when it is confident that the breach could not have affected the outcome
2564,78,36,184,87,40475,v dun does not represent even at a minimumthe predominant view of the law in the united states see 15a am jur 2d collections and credit agencies 167 28 and petition of retailers commercial agency inc 174 ne 2d 376 mass 1961 the united states position is summarised in american jurisprudence 2d in the paragraph cited footnotes omitted though there is authority to the contrary reports of mercantile or other creditreporting agencies furnished in good faith to one having a legitimate interest in the information are privileged on the other hand the decision in macintosh v dun was applied in canada in gillett v nissen volkswagen 1975 3 wwr 520 58 dlr 3d 104 and see informa confidential reports pty ltd v abro 1975 2 sa 760
24875,25,4,121,119,42246,that same issue occurred in relation to proposals to acquire native title rights and interests or certain of them in the town of timber creek on 31 july 2003 a judge of the supreme court of the northern territory decided that such notices were invalid as being beyond power in the circumstances griffiths v lands and mining tribunal and minister for lands planning and the environment 2003 179 flr 241 that decision was reversed by the full court of the supreme court of the northern territory minister for lands planning amp environment 2004 14 ntlr 188 the high court subsequently granted leave to appeal from that decision on 15 november 2007 judgment on the appeal was reserved it addresses questions as to whether s 43 of the lands acquisition act permits the compulsory acquisition of native title rights and interests in land for the purpose of extinguishing native title in order to alienate land for the private benefit of another citizen whether s 24md of the nt act permits the acquisition of native title rights and interests in land for the purpose of vesting the affected land in the northern territory freed and discharged of the native title rights and interests and whether s 46 of the lands acquisition act is repugnant to s 238 of the nt act
15723,72,1,187,60,45438,26 the tribunal noted that in the absence of any variation to the contracts the amounts that would have been deductible under s 82aac of the act as superannuation contributions were in 1997 2717000 mr mark trail and 978200 mr allan trail and in 1998 2862000 mr mark trail and 1023200 mr allan trail at 27 the tribunal noted that s 177c1b requires the making of an hypothesis as to what might reasonably be expected to have happened had the scheme not been entered into or carried out the tribunal noted the observations of gummow and hayne jj in commissioner of taxation v hart 2004 217 clr 216 at 243 66 that the enquiry directed by part iva requires comparison between the scheme in question and an alternative postulate the tribunal also noted that the high court in commissioner of taxation v peabody 1994 hca 43 1994 181 clr 359 determined that a reasonable expectation requires more than a possibility with the result that the prediction must be sufficiently reliable for it to be regarded as reasonable the matter is to be remitted to the tribunal to determine the questions before it by applying the test so as to determine whether there is evidence which supports an hypothesis that the taxpayer would have undertaken or might reasonably be expected to have undertaken a particular activity in lieu of the scheme and whether that activity would or might reasonably be expected to have resulted in an allowable deduction of the same kind as the deduction claimed by the taxpayer under the scheme consistently with the methodology identified in the authorities and in particular commissioner of taxation v peabody 1994 181 clr 359 commissioner of taxation v hart 2004 217 clr 216 and federal commissioner of taxation v lenzo 2008 167 fcr 255 at 278 121 to 125 and 128 federal commissioner of taxation v spotless services ltd 1996 186 clr 404
1457,25,28,266,186,31935,76 of the code sets out certain matters as relevant matters to which the court should have regard in determining an appropriate pecuniary penalty the parties in the joint submissions referred to further relevant factors addressed by french j in trade practices commission v csr ltd 1991 atpr 41076 at 5215252153 and expanded upon in nw frozen foods pty ltd v australian competition and consumer commission 1996 fca 1134 1996 71 fcr 285 and j mcphee amp son australia pty ltd v australian competition and consumer commission 2000 fca 365 2000 172 alr 532 it is uncontroversial as between the parties that the total penalty for related offences ought not to exceed what is proper for the entire contravening conduct involved mornington inn v jordan 2008 fcafc 70 2008 168 fcr 383 at 42 45 91 per stone and buchanan jj
15400,11,31,407,30,29878,in reg v hunt ex parte sean investments pty ltd 1979 hca 32 1979 180 clr 322 at 329 mason j with whom gibbs j agreed at 324 explained the significance of a statutory requirement that a decisionmaker have regard to costs necessarily incurred in providing nursing home care in a particular nursing home when determining a scale of fees mason j said that the expression have regard to required the decisionmaker to take the costs into account and give them weight as a fundamental element in making his determination sean investments 180 clr at 329 he explained that in that case there were two reasons for such a construction first that the costs were the only matter explicitly mentioned as a matter to be taken into account and secondly the scheme of the provisions was that once an approval were given the proprietor of the nursing home was not permitted to exceed the scale of fees fixed by the decisionmaker 104 as mason j pointed out the section did not require the decisionmaker there to fix the scale of fees exclusively by reference to particular costs the decisionmaker was entitled to have regard he said to other relevant considerations but the function of the decisionmaker was to determine a scale of fees for the particular nursing home not all nursing homes thus the act directed that regard be had to the costs incurred in providing care in that nursing home sean investments 180 clr at 329 105 i am of opinion that when s 152cr1d required the commission in making a final determination to take into account telstras direct costs of providing access to the ulls in the manner the commission proposed it was required to take that matter into account together with the other matters referred to in the section and to give weight to them as a fundamental element in making its decision the queen v toohey ex parte meneling station pty limited 1982 hca 69 1982 158 clr 327 at 333 per gibbs cj applying what mason j had said in sean investments 180 clr at 329 to a section requiring a decisionmaker to take a variety of matters into account mason j said that the requirement to have regard to a matter meant that it would become a central element for the decisionmaker in his considerations meneling station 158 clr at 338 and as he later explained in his classic judgment in minister for aboriginal affairs v peko wallsend ltd 1986 hca 40 1986 162 clr 24 at 41 in the absence of any statutory indication of the weight to be given to various considerations it is generally for the decisionmaker and not the court to determine the appropriate weight to be given to the matters which are required to be taken into account in exercising a statutory power mason j said that the court could set aside an administrative decision which had failed to give adequate weight to a relevant factor of great importance or had given excessive weight to a relevant factor of no great importance but the preferred ground on which that power was to be exercised was that the decision was manifestly unreasonable a person entrusted with a discretion must call his own attention to the matters which he is bound to consider pekowallsend 162 clr at 39 per mason j applying associated provincial picture houses ltd v wednesbury corp 1948 1 kb 223 at 228 per lord greene mr 108 because s 152cr1 required it to take into account each of the seven specified factors the commission had to give each of them appropriate consideration in arriving at its final determination the number and variety of factors which a statute requires a decisionmaker to take into account or to have regard to in arriving at a decision necessarily affects the weight any one of those factors must be given in the deliberative process in sean investments 1979 hca 32 180 clr 322 the costs were fundamental or foundational because they were the only matter which the statute prescribed the subject matter scope and purpose of the statutory power provide a context in which to assess the duties it imposes on the decisionmaker in any particular situation cf foster v minister for customs 2000 hca 38 2000 200 clr 442 at 452 22 23 per gleeson cj and mchugh j gaudron and hayne jj agreeing with their honours at 454 32
12166,26,6,413,7,8597,i respectfully agree with the federal magistrate it is clear that the tribunal did consider each of the issues it was required to consider for the purposes of making a decision section 4301c of the act requires the tribunal to set out the findings which it made and which it considered to be material it does not oblige the tribunal to make findings on every question of fact which is objectively material minister for immigration and multicultural affairs v yusuf 2001 hca 30 2001 206 clr 323 at 9 and 67 68 there is no jurisdictional error in circumstances where the tribunal has not specifically made mention of a particular piece of evidence in its reasons as jarrett fm said at 36 the case put by the appellant was considered but rejected by the tribunal 35 this ground of appeal has not been established 36 the appellants complaint is that the tribunal failed to identify the relevant principles for the determination of a particular social group within the meaning of article 1a2 of the convention the tribunal did not discuss the principles of such determination federal magistrate jarrett pointed out at 38 that the appellant did not put her case on the basis that she was a member of a particular social group the minister concedes that the tribunal did not follow the usual course when determining whether a group or class to which an appellant claims to belong is capable of constituting a particular social group under the convention namely whether there is an identifiable social group and whether the appellant is a member of such a group
8452,73,22,318,86,14910,significance of the distinction if legally there is one was not made clear it is argued that the housing associations could not alienate their interests in the town camps under the respective special purposes leases or crown leases either absolutely or for 40 years that was said to flow from the proper construction and understanding of the objects and purposes of the housing associations i have already addressed that contention no reason was put why those objects and purposes should impose restrictions on the powers of the housing associations which preclude their capacity to agree to the proposed subleases as housing associations and different restrictions on their powers because of the interests of their members as a whole the plurality judgment in gambotto 182 clr pointed out at 444 that the observations of lindley mr in allen v gold reefs of west africa ltd 1900 1 ch 656 at 671 that the power of the majority to alter the articles of association of a company must be exercised in a lawful manner and bona fide for the benefit of the company as a whole was inappropriate where the proposed resolution involved a conflict of interests and advantages the plurality judgment said at 444 it seems to us that in such a case not involving an actual or effective expropriation of shares or of valuable proprietary rights attaching to shares an alteration of the articles by special resolution regularly passed will be valid unless it is ultra vires beyond any purpose contemplated by the articles or oppressive as that expression is understood in the law relating to corporations
